Tanggal,Latitude,Longitude
2023-12-28,-7.8012,110.3647
2023-12-26,-7.8012,110.3647
2023-12-24,-7.31316,108.4049
2023-12-23,-3.0432,114.7614
2023-12-18,-6.11239,106.1586
2023-12-11,1.019658,104.5698
2023-12-09,-7.71698,110.1804
2023-12-06,-0.72394,111.656
2023-11-29,-2.88428,107.6632
2023-11-26,-5.20067,120.1442
2023-11-21,-7.86429,112.5236
2023-11-19,-7.47049,110.2145
2023-11-19,-7.73926,109.0141
2023-11-19,-7.73926,109.0141
2023-11-18,-7.71698,110.1804
2023-11-16,-7.94508,110.6611
2023-11-14,-7.73926,109.0141
2023-11-14,-3.0193,114.6779
2023-11-12,5.887897,10.01103
2023-11-12,-7.71698,110.1804
2023-11-11,-6.80782,110.8417
2023-11-10,-7.94508,110.6611
2023-11-09,-7.8012,110.3647
2023-11-08,-7.70775,110.5999
2023-11-07,-3.24115,116.2258
2023-11-07,-7.97713,112.634
2023-11-06,-4.82243,119.4951
2023-11-06,-8.63309,116.5588
2023-11-06,-7.47049,110.2145
2023-11-05,-7.71308,110.0091
2023-11-05,-7.94508,110.6611
2023-11-05,-5.20067,120.1442
2023-11-03,-0.51622,102.9305
2023-11-03,-3.89714,115.1523
2023-11-03,1.196122,124.8839
2023-11-03,-7.06068,110.4436
2023-11-03,-6.9904,110.4229
2023-11-02,-7.94508,110.6611
2023-11-02,-8.13521,113.2244
2023-11-02,-8.63309,116.5588
2023-11-02,-7.47259,112.4341
2023-11-02,-3.43975,114.8309
2023-11-02,-7.94508,110.6611
2023-11-01,-6.80736,108.2788
2023-11-01,-7.71698,110.1804
2023-11-01,-4.68565,104.0037
2023-11-01,-6.80736,108.2788
2023-11-01,-1.63425,106.0051
2023-11-01,-3.89714,115.1523
2023-10-31,-7.8012,110.3647
2023-10-31,-1.62969,103.6078
2023-10-31,-4.2752,104.4413
2023-10-31,-7.73926,109.0141
2023-10-31,-7.51651,109.2936
2023-10-31,-7.71698,110.1804
2023-10-30,1.019658,104.5698
2023-10-29,-6.93422,107.7223
2023-10-29,-6.80782,110.8417
2023-10-29,-6.49839,107.7395
2023-10-29,-1.21314,121.6196
2023-10-29,-7.47049,110.2145
2023-10-29,-7.73926,109.0141
2023-10-28,-7.8012,110.3647
2023-10-28,-7.73926,109.0141
2023-10-28,-1.62969,103.6078
2023-10-28,-6.9904,110.4229
2023-10-27,-5.36694,104.1866
2023-10-27,-6.9904,110.4229
2023-10-27,-7.53138,110.5973
2023-10-27,-7.56643,112.0418
2023-10-27,-7.56146,112.2413
2023-10-27,-7.73926,109.0141
2023-10-27,-7.94508,110.6611
2023-10-26,-6.80736,108.2788
2023-09-30,-1.19739,116.5673
2023-09-30,0.439276,102.0861
2023-09-30,-7.56643,112.0418
2023-09-30,-2.12018,112.165
2023-09-30,-3.84404,114.9889
2023-09-30,-2.86227,115.011
2023-09-30,0.195633,116.2004
2023-09-30,-3.0432,114.7614
2023-09-30,-0.51622,102.9305
2023-09-30,-6.8438,110.7713
2023-08-31,3.08018,117.2409
2023-08-31,-3.0193,114.6779
2023-08-31,-2.86227,115.011
2023-08-31,-2.93039,132.2951
2023-08-31,-2.88428,107.6632
2023-08-31,-7.68299,110.8406
2023-08-31,-6.8438,110.7713
2023-06-30,2.838334,117.3687
2023-06-30,-1.84775,109.9727
2023-06-30,-7.56643,112.0418
2023-06-30,-6.3809,105.9406
2023-06-29,-2.20729,113.9164
2023-06-29,-7.70678,114.0054
2023-06-28,-2.50421,111.6468
2023-06-28,-8.68204,121.0015
2023-03-31,4.140405,117.6511
2023-03-29,3.23924,97.2345
2023-03-27,-3.98395,103.325
2023-03-19,3.295864,117.602
2023-03-19,4.140405,117.6511
2023-03-18,-1.92509,105.9365
2023-02-26,-0.16539,104.5767
2023-02-26,3.295864,117.602
2023-02-25,-0.16539,104.5767
2023-02-25,4.140405,117.6511
2023-02-25,3.23924,97.2345
2023-01-31,1.468944,102.1105
2023-01-31,0.526246,101.4516
2023-01-31,-0.51622,102.9305
2023-01-28,-0.59301,100.5595
2023-01-27,-4.2752,104.4413
2023-01-21,4.140405,117.6511
2023-01-20,-6.3809,105.9406
2023-01-20,5.571006,95.33788
2023-01-20,4.811484,95.70019
2023-01-19,4.140405,117.6511
2023-01-05,-6.93422,107.7223
2023-01-12,-6.9904,110.4229
2023-01-18,-7.28959,112.7146
2023-01-23,3.572702,98.67342
2023-01-29,-0.92476,100.3633
2023-02-03,-6.11239,106.1586
2023-02-09,5.887897,10.01103
2023-02-14,-8.58499,116.0857
2023-02-20,-0.02269,109.3447
2023-02-25,-5.1343,119.4124
2023-03-02,-6.93422,107.7223
2023-03-08,-7.47049,110.2145
2023-03-13,-7.97713,112.634
2023-03-19,2.957076,99.06484
2023-03-24,-0.3052,100.3695
2023-03-30,-6.31598,106.6775
2023-04-04,5.887897,10.01103
2023-04-10,-8.61524,118.7384
2023-04-15,0.906986,108.989
