temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
26.852917,82.35836,23.317501,0.5833333,0.5833333,999.18585,84.375,0.1710902,0.7149986,5.268549,7.132645,234.3031,14.5199995,0.16233334,0.080916665
27.807083,69.62576,21.36125,0.033333335,0.033333335,999.5215,96.833336,0.21836174,1.2506243,6.36592,8.769913,242.34308,15.48,0.08354167,0.088625
27.663168,74.91575,22.348583,0.13333334,0.13333334,994.19055,65.666664,0.20938382,1.0649334,5.622826,7.01454,223.01445,15.15,0.14533333,0.14470834
27.591833,85.56594,24.704334,0.1875,0.1875,1010.8286,97.583336,0.18289325,0.61735713,4.940608,8.222507,97.42201,12.9,0.36504167,0.37225
28.618666,66.809586,21.081167,0.0,0.0,1006.469,67.333336,0.2404586,1.536546,5.5313215,7.9453254,245.64528,14.294999,0.160125,0.192375
26.086584,88.58448,24.022001,0.5,0.5,1006.1847,99.5,0.13084377,0.3972095,10.820662,17.229237,177.71973,22.019999,0.31704167,0.33279166
24.055584,88.69673,21.941,0.2375,0.2375,958.9602,99.416664,0.16405812,0.37574962,4.89958,7.5226603,265.93936,14.565,0.3735,0.34491667
26.214417,87.56937,23.808167,0.054166667,0.054166667,994.3911,89.833336,0.18285307,0.48864225,3.4849012,5.059819,183.87831,10.815,0.38179168,0.382125
27.497583,83.59138,24.241333,0.07083333,0.07083333,1006.3418,65.166664,0.1896024,0.6813412,5.231883,8.746561,92.931366,11.639999,0.26179168,0.25825
25.75925,84.983246,22.95925,0.14583334,0.14583334,976.86707,97.25,0.1495106,0.5267424,3.5774572,4.455418,170.65338,12.42,0.36191666,0.35454166
23.841917,74.50849,18.448166,0.004166667,0.004166667,915.9288,55.208332,0.22391565,0.89638036,7.4778085,9.489738,196.77844,19.47,0.083,0.06
24.477999,85.34,21.750916,0.24166667,0.24166667,971.0056,71.541664,0.17056422,0.48621693,10.672077,16.276909,198.34148,23.535,0.39654166,0.38604167
26.358917,82.88968,23.17975,0.041666668,0.041666668,1010.96625,49.958332,0.21007013,0.5960093,16.139194,18.592117,131.72893,21.48,0.0,0.0
26.358917,82.88968,23.17975,0.041666668,0.041666668,1010.96625,49.958332,0.21007013,0.5960093,16.139194,18.592117,131.72893,21.48,0.0,0.0
24.216,83.6298,21.00975,0.041666668,0.041666668,960.30554,76.0,0.19772427,0.56373835,6.2091293,9.158517,119.14851,17.31,0.278125,0.26166666
27.005917,81.04478,23.168417,0.029166667,0.029166667,992.29974,97.0,0.20020904,0.76872754,12.648141,18.897732,164.65134,26.925,0.35966668,0.25333333
25.677668,87.275116,23.39225,0.7,0.7,1011.24365,99.416664,0.15373698,0.42388082,13.430606,15.327361,131.19492,19.965,0.0,0.0
29.069584,77.31916,24.138334,0.0,0.0,1008.8622,78.333336,0.22352242,1.0783583,5.95324,10.212586,137.06027,13.7699995,0.36345834,0.36295834
19.89525,79.88652,16.109833,0.07083333,0.07083333,869.3511,79.791664,0.14080247,0.5188229,4.514074,6.7085176,173.64807,13.98,0.482875,0.48891667
23.032667,91.463554,21.480583,0.6666667,0.6666667,961.04535,86.083336,0.11445447,0.26715407,4.5999646,6.430871,127.310104,14.295,0.3265,0.18425
28.387167,74.82885,23.080917,0.12083334,0.12083334,1008.7184,57.333332,0.20980096,1.1101708,5.543516,8.8566885,137.69308,14.745,0.32208332,0.31479168
27.5705,76.65541,22.549667,0.0125,0.0125,992.14124,99.958336,0.22382143,1.0040119,10.118673,15.272139,204.64795,22.845,0.28629166,0.253
