Provinsi,Kab/Kota,Tanggal,Latitude,Longitude,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,Kebakaran
Riau,Kota Dumai,2024-01-01,1.657172,101.426666,26.662582,87.62009,24.312584,0.09166667,0.09166667,1009.1307,95.208336,0.15970759,0.47796145,4.731922,7.518001,160.71521,13.89,0.401625,0.41608334,Yes
Riau,Pelalawan,2024-01-01,0.4392758,102.0860694,25.613583,94.223915,24.565666,0.3375,0.3375,1010.521,99.958336,0.10635765,0.20869303,4.0957522,7.3775496,143.02003,12.599999,0.41825,0.42225,Yes
Riau,Kepulauan Meranti,2024-01-01,0.978508,102.749102,25.843416,93.13121,24.5705,0.22500001,0.22500001,1010.2768,99.875,0.11711643,0.25653452,5.101934,10.302356,58.86109,13.934999,0.41491666,0.41083333,Yes
Riau,Bengkalis,2024-01-01,1.468944,102.110526,26.702,87.895256,24.4145,0.075,0.075,1010.1952,98.875,0.14783283,0.460778,6.3415546,9.963447,104.077385,15.254999,0.40691668,0.417,Yes
Kepulauan Riau,Bintan,2024-01-18,1.01965765,104.5698189,26.099085,88.18837,23.974085,0.7166667,0.7166667,1006.4964,100,0.11255021,0.40536448,16.170847,25.306553,70.535164,29.744999,0.30425,0.29641667,Yes
Kepulauan Riau,Karimun,2024-02-01,1.0002709,103.4284711,27.095499,83.6068,24.053833,0.11666667,0.11666667,1009.7858,91.75,0.17341138,0.596609,13.101735,18.546898,35.77602,29.355,0.292125,0.31070834,Yes
Kepulauan Riau,Karimun,2024-02-05,1.0002709,103.4284711,27.610083,79.605064,23.728832,0.0625,0.0625,1009.59235,90.041664,0.20375185,0.7682031,11.212188,16.117422,28.428892,26.175,0.33,0.31641668,Yes
Aceh,Aceh Tenggara,2024-02-05,-3.9839496,103.3249505,22.067417,91.29134,20.534084,1.2541666,1.2541666,941.46094,100,0.12041378,0.25287184,4.673992,5.5688543,148.05228,14.549999,0.419875,0.42375,Yes
Aceh,Aceh Besar,2024-02-12,-3.9839496,103.3249505,23.111168,86.91254,20.6945,0.65,0.65,942.02985,90.875,0.15136465,0.40378556,2.511702,4.107488,161.06874,11.294999,0.42595834,0.42029166,Yes
Aceh,Aceh Tenggara,2024-02-16,-3.9839496,103.3249505,22.032,94.57026,21.098667,1.5583333,1.5583333,940.3848,99.916664,0.06354109,0.15069704,2.7846,3.5822244,110.298,9.09,0.43183333,0.43258333,Yes
Kalimantan Tengah,Kotawaringin Barat,2024-02-20,-2.50421195,111.6468097,26.79,91.122284,25.110834,0.9458333,0.9458333,1010.10376,78.291664,0.1660321,0.3620002,3.9351783,6.538986,211.74507,12.344999,0.40895835,0.40562502,Yes
Jawa Timur,Banyuwangi,2024-02-21,-8.203328,114.374513,27.487333,84.67558,24.53525,0.079166666,0.079166666,1008.1175,84.125,0.21586396,0.6222886,4.7092566,7.350813,169.74437,15.2699995,0.255375,0.266375,Yes
Kepulauan Riau,Karimun,2024-02-22,1.0002709,103.4284711,27.583,83.6811,24.51425,0.054166667,0.054166667,1008.2176,79.333336,0.1966169,0.622259,8.3298435,11.787944,64.61457,22.35,0.30108333,0.303375,Yes
Kepulauan Riau,Bintan,2024-02-22,1.01965765,104.5698189,27.657417,82.40396,24.332418,0.016666668,0.016666668,1008.63477,90.208336,0.16981189,0.67107904,8.988084,14.559961,75.302475,18.24,0.17254166,0.18995833,Yes
Kepulauan Riau,Bintan,2024-02-23,1.01965765,104.5698189,27.622002,80.882835,23.988668,0.11666667,0.11666667,1008.4641,42.958332,0.19404857,0.72314835,13.870856,21.201807,19.667707,25.679998,0.195875,0.182125,Yes
Kepulauan Riau,Bintan,2024-02-24,1.01965765,104.5698189,27.726168,77.22048,23.317835,0.0125,0.0125,1008.17847,31.875,0.21679083,0.86421305,15.027871,22.610863,45.360058,28.064999,0.17241667,0.17004167,Yes
Kepulauan Riau,Bintan,2024-02-25,1.01965765,104.5698189,27.738667,78.41509,23.6095,0.054166667,0.054166667,1007.9875,46.291668,0.20717059,0.81492823,15.627063,23.487524,24.30263,28.904999,0.15216666,0.16108334,Yes
Riau,Kota Dumai,2024-02-26,1.657172,101.426666,28.014668,79.22351,23.900084,0.1375,0.1375,1008.489,77.875,0.1942825,0.8427253,9.962861,17.056639,74.56858,22.064999,0.263375,0.24433333,Yes
Sumatera Utara,Labuhanbatu,2024-03-01,3.025326,98.289185,23.206,86.74982,20.570583,0.27083334,0.27083334,935.86884,96.416664,0.1737653,0.47239017,4.2355013,5.656414,162.26125,12.525,0.300125,0.28595832,Yes
Sumatera Utara,Dairi,2024-03-01,2.83532105,98.28450159,23.065584,88.920586,20.98225,0.44583333,0.44583333,936.22156,99.25,0.16385217,0.36608094,2.956057,4.071663,158.69652,11.594999,0.486625,0.481,Yes
Aceh,Bener Meriah,2024-03-12,3.23924,97.234497,26.766,84.780075,23.899334,0.045833334,0.045833334,1003.95886,83.958336,0.20422904,0.56232464,4.131784,5.254605,194.5271,16.92,0.36675,0.37849998,Yes
Kepulauan Riau,Bintan,2024-03-13,1.01965765,104.5698189,27.819918,77.5479,23.494917,0,0,1008.7111,50.291668,0.23097758,0.85374,17.728477,26.509928,80.28328,32.129997,0.16795833,0.18575001,Yes
Kepulauan Riau,Karimun,2024-03-13,1.0002709,103.4284711,28.403833,73.896515,23.130917,0.0125,0.0125,1008.1189,44.708332,0.24524646,1.0531125,14.893475,21.501442,75.113235,31.56,0.31579167,0.33504167,Yes
Riau,Kota Dumai,2024-03-14,1.657172,101.426666,27.677166,81.44622,23.995916,0.1,0.1,1009.3774,90.875,0.1991703,0.7585265,5.9192224,10.293232,224.2431,14.445,0.30058333,0.32041666,Yes
Kepulauan Riau,Bintan,2024-03-15,1.01965765,104.5698189,27.490751,76.387924,22.851168,0.008333334,0.008333334,1008.3422,93.791664,0.22091,0.896528,13.344647,21.116802,14.996454,25.529999,0.12833333,0.16241667,Yes
Sumatera Utara,Asahan,2024-03-15,3.1127636,99.94169219,28.81875,79.00176,24.802084,0.016666668,0.016666668,1010.9292,94.416664,0.2213043,0.8339274,14.994447,15.672229,280.91278,22.275,0,0,Yes
Kepulauan Riau,Karimun,2024-03-17,1.0002709,103.4284711,28.391333,75.86061,23.585083,0.033333335,0.033333335,1007.16785,73.541664,0.2171556,0.97008884,13.105877,18.608496,79.84298,29.099998,0.26316667,0.29595834,Yes
Sumatera Utara,Asahan,2024-03-18,3.1127636,99.94169219,28.972918,78.53822,24.845833,0.0375,0.0375,1009.8375,56.25,0.20503932,0.8621388,9.144387,9.431223,194.07373,15.419999,0,0,Yes
